Data,Temperatura (°C),Vendas (R$),Quantidade Vendida
01/01/2025,30,500,100
02/01/2025,28,480,96
03/01/2025,29,490,98
04/01/2025,31,510,102
05/01/2025,33,530,106
06/01/2025,32,520,104
07/01/2025,34,540,108
08/01/2025,30,500,100
09/01/2025,29,490,98
10/01/2025,31,510,102
11/01/2025,32,520,104
12/01/2025,28,480,96
13/01/2025,33,530,106
14/01/2025,35,550,110
15/01/2025,30,500,100
16/01/2025,29,490,98
17/01/2025,34,540,108
18/01/2025,31,510,102
19/01/2025,33,530,106
20/01/2025,30,500,100
21/01/2025,28,480,96
22/01/2025,32,520,104
23/01/2025,34,540,108
24/01/2025,35,550,110
25/01/2025,29,490,98
26/01/2025,31,510,102
27/01/2025,30,500,100
28/01/2025,32,520,104
29/01/2025,33,530,106
30/01/2025,28,480,96
31/01/2025,35,550,110
01/02/2025,30,500,100
02/02/2025,31,510,102
03/02/2025,33,530,106
04/02/2025,29,490,98
05/02/2025,28,480,96
06/02/2025,35,550,110
07/02/2025,34,540,108
08/02/2025,32,520,104
09/02/2025,30,500,100
10/02/2025,31,510,102
11/02/2025,33,530,106
12/02/2025,35,550,110
13/02/2025,29,490,98
14/02/2025,28,480,96
15/02/2025,32,520,104
16/02/2025,34,540,108
17/02/2025,31,510,102
18/02/2025,30,500,100
19/02/2025,33,530,106
20/02/2025,35,550,110
21/02/2025,28,480,96
22/02/2025,29,490,98
23/02/2025,34,540,108
24/02/2025,32,520,104
25/02/2025,30,500,100
26/02/2025,31,510,102
27/02/2025,33,530,106
28/02/2025,35,550,110
01/03/2025,28,480,96
02/03/2025,29,490,98
03/03/2025,34,540,108
04/03/2025,31,510,102
05/03/2025,30,500,100
06/03/2025,32,520,104
07/03/2025,33,530,106
08/03/2025,35,550,110
09/03/2025,28,480,96
10/03/2025,29,490,98
11/03/2025,34,540,108
12/03/2025,32,520,104
13/03/2025,31,510,102
14/03/2025,30,500,100
15/03/2025,33,530,106
16/03/2025,35,550,110
17/03/2025,28,480,96
18/03/2025,29,490,98
19/03/2025,34,540,108
20/03/2025,32,520,104
21/03/2025,30,500,100
22/03/2025,31,510,102
23/03/2025,33,530,106
24/03/2025,35,550,110
25/03/2025,28,480,96
26/03/2025,29,490,98
27/03/2025,34,540,108
28/03/2025,32,520,104
29/03/2025,31,510,102
30/03/2025,30,500,100
31/03/2025,33,530,106
01/04/2025,35,550,110
02/04/2025,28,480,96
03/04/2025,29,490,98
04/04/2025,34,540,108
05/04/2025,31,510,102
06/04/2025,30,500,100
07/04/2025,32,520,104
08/04/2025,33,530,106
09/04/2025,35,550,110
10/04/2025,28,480,96
11/04/2025,29,490,98

